Alpha,SO_Mild_Alpha,SO_Mandatory_Alpha,Beta,SO_Mild_Beta,SO_Mandatory_Beta
0.34444444444444444,50052.32699943387,60466.75171535222,0.14444444444444446,50953.53445514129,61758.45195071251
0.34444444444444444,49567.755847148524,61264.82706099116,0.14444444444444446,50491.34251061933,60673.58782221184
0.34444444444444444,50392.79146051767,61235.67908593042,0.14444444444444446,50246.42054812292,62317.130996397034
0.34444444444444444,50083.07221776046,61325.87310931988,0.14444444444444446,49842.10309236465,62192.094454319944
0.34444444444444444,50260.793100379815,60597.260166347114,0.14444444444444446,49824.59843887243,61146.75821978859
0.34444444444444444,49902.77783944003,59841.8814500209,0.14444444444444446,50501.52939576628,62424.48487480989
0.34444444444444444,50804.407873930686,61358.78591780071,0.14444444444444446,50701.95436773898,61426.33075295249
0.34444444444444444,51685.90667133131,60666.02348100478,0.14444444444444446,50221.21587227539,61794.313806711296
0.34444444444444444,49888.82542108466,59982.61572203788,0.14444444444444446,50432.529666603405,61418.83138711155
0.34444444444444444,50702.20539412175,61198.24655060616,0.14444444444444446,50509.711636396285,61893.26442062628
0.34444444444444444,50998.11218187144,60375.01232362238,0.14444444444444446,51069.78266512918,61088.13909025117
0.34444444444444444,50580.405004454806,60572.31304516068,0.14444444444444446,50375.259893185284,61170.39402066128
0.34444444444444444,50894.08031919598,61101.440894079475,0.14444444444444446,50780.56490776593,61986.68075956245
0.34444444444444444,49444.37520671848,60767.73481349436,0.14444444444444446,50787.221551933944,60438.009486086994
0.34444444444444444,49248.16512103401,60251.692477199205,0.14444444444444446,51068.76548202237,60858.83789938978
0.34444444444444444,49670.82347947539,60512.862608701194,0.14444444444444446,50331.268693661914,61632.549015858545
0.34444444444444444,50090.8793302199,60915.62488087137,0.14444444444444446,50646.94596027095,61969.7009336804
0.34444444444444444,50279.49507261938,60821.40341863325,0.14444444444444446,50383.512572739426,61050.026441888316
0.34444444444444444,50388.41493624626,60208.436012662896,0.14444444444444446,50533.067526346014,62021.843001154746
0.34444444444444444,50258.811579474626,61550.56284659251,0.14444444444444446,51003.725324429965,61576.90733729454
0.34444444444444444,50139.32080879026,61080.66971611657,0.14444444444444446,51351.87048289032,62105.76145473591
0.34444444444444444,50423.034578068895,61264.467548634624,0.14444444444444446,51083.13000696027,60944.341421659046
0.34444444444444444,50365.79167209091,61256.015947683,0.14444444444444446,51080.508407542824,61432.15421010424
0.34444444444444444,50475.86791181094,61161.97583768038,0.14444444444444446,50491.41677353435,61192.05759769473
0.34444444444444444,50443.286043361404,60329.93865941866,0.14444444444444446,50603.03060694672,61220.45645575798
0.34444444444444444,49636.840048875914,60656.719604081205,0.14444444444444446,50773.76603886443,61446.86175282733
0.34444444444444444,50998.04248631039,60747.506811369676,0.14444444444444446,50799.15813521142,61809.96910232737
0.34444444444444444,50377.00196460155,59849.68017207204,0.14444444444444446,50541.70630312798,61164.68671930865
0.34444444444444444,50319.09317255627,60876.28734254165,0.14444444444444446,49685.687573356976,61918.660191617084
0.34444444444444444,48885.56274330902,60978.77780431873,0.14444444444444446,50728.27152042913,61445.245143127526
0.34444444444444444,49396.7319438946,60470.6587508773,0.14444444444444446,51274.84708015255,60889.07273664067
0.34444444444444444,50719.458228859694,60912.0590967522,0.14444444444444446,50717.008769844615,61051.30401309804
0.34444444444444444,49997.997176737335,60566.29573365973,0.14444444444444446,51016.891815977,60420.26269377878
0.34444444444444444,50013.226105405636,60913.77781057874,0.14444444444444446,51090.896720256824,61914.66342691647
0.34444444444444444,49621.90079352429,61395.54206740667,0.14444444444444446,50227.38267232118,61566.50318786805
0.34444444444444444,49648.44038278345,59969.804566913524,0.14444444444444446,50238.127218879024,61747.13156363937
0.34444444444444444,50717.79878819575,60614.8726713036,0.14444444444444446,51099.00344274523,61030.843500414536
0.34444444444444444,50257.45201755177,61160.64884183808,0.14444444444444446,50040.51456045048,62081.551908683454
0.34444444444444444,49862.50374827494,60901.90620951004,0.14444444444444446,51659.47418464462,61780.55686163438
0.34444444444444444,50546.32971301649,61654.95077627082,0.14444444444444446,50973.109633134954,61367.313043753915
0.34444444444444444,49966.69277597282,60601.85973315392,0.14444444444444446,50778.902891828984,61708.69397595312
0.34444444444444444,50503.88553188488,60937.62981536276,0.14444444444444446,50597.60242099148,62208.26359434059
0.34444444444444444,50153.704342474804,61629.67832458763,0.14444444444444446,50777.26126690614,61686.13333840748
0.34444444444444444,49381.00358756643,60122.460608104404,0.14444444444444446,50607.907363718965,61503.163695616284
0.34444444444444444,49386.781252344525,61434.17331383332,0.14444444444444446,51298.244024460044,61606.28634884745
0.34444444444444444,50479.58388283244,60147.96079139993,0.14444444444444446,50773.53641514486,61624.434372279706
0.38888888888888884,50382.927748769835,61152.82886999718,0.18888888888888888,50595.52145932069,60962.69665883972
0.38888888888888884,49339.83463484266,61260.80523063952,0.18888888888888888,51564.06485133359,62200.81367261668
0.38888888888888884,49855.67141337779,61520.000940112164,0.18888888888888888,51402.299603920226,61130.407232140395
0.38888888888888884,49870.973821554544,61276.24657692718,0.18888888888888888,51500.23790509908,62650.102060179306
0.38888888888888884,51091.72956083937,61653.94670717328,0.18888888888888888,51300.18898491417,62490.57787292682
0.38888888888888884,50698.02688630302,61125.99887844579,0.18888888888888888,51176.702081907664,61243.36286497669
0.38888888888888884,49694.39232590102,60947.11874651693,0.18888888888888888,51031.59371299388,61156.495316779045
0.38888888888888884,50331.44135980799,61017.75549492503,0.18888888888888888,50479.090708527925,61824.806880961296
0.38888888888888884,49677.683323284626,61383.8840390786,0.18888888888888888,50868.78701321783,61898.2043698347
0.38888888888888884,49853.986608281804,61939.72113846949,0.18888888888888888,49881.73328091554,61589.547693287896
0.38888888888888884,50518.45503710379,61656.29798067389,0.18888888888888888,51052.27702661055,62040.85350294629
0.38888888888888884,50923.74101461712,62205.632487469076,0.18888888888888888,51184.66426806941,61792.29579719497
0.38888888888888884,50535.38494706397,60971.636041761696,0.18888888888888888,50588.165702789054,61917.40210925468
0.38888888888888884,50259.05184872199,61914.71798733657,0.18888888888888888,50627.92122013267,62117.19486011612
0.38888888888888884,49784.326736483126,60727.604377570075,0.18888888888888888,50991.431754425015,61635.805593272824
0.38888888888888884,50562.94032481017,61090.267939655416,0.18888888888888888,50393.280218899024,62226.40438693571
0.38888888888888884,50928.26667329695,60497.32004792695,0.18888888888888888,51057.30250094871,62718.15150496353
0.38888888888888884,50410.97144062784,61073.16079540733,0.18888888888888888,51040.88740977425,61971.62511205838
0.38888888888888884,49908.322459111536,61605.99672698312,0.18888888888888888,50045.143370079284,61821.908856430695
0.38888888888888884,50398.5522996304,61099.62936124302,0.18888888888888888,50619.51365111555,62079.88281087122
0.38888888888888884,50032.09271581023,60981.73387527397,0.18888888888888888,50945.119999357325,62159.30325717963
0.38888888888888884,49933.63064998416,61598.54985934888,0.18888888888888888,51844.07533475875,61267.48551394055
0.38888888888888884,50960.8524428221,62006.69742906779,0.18888888888888888,51251.13105754047,62008.46325007184
0.38888888888888884,50661.47113290517,60997.0573700101,0.18888888888888888,51767.42517171888,62019.358951682465
0.38888888888888884,50209.9628328966,61411.990688536825,0.18888888888888888,51078.48297514965,62092.393282181154
0.38888888888888884,50544.8762217249,61079.56259349573,0.18888888888888888,51238.41083226128,62393.85174279708
0.38888888888888884,50313.40515600654,61752.26187705291,0.18888888888888888,50368.088513084534,61470.497277804
